"こちらこそ","","","","めいし","","名刺"
"雑誌","","","","ラジオ","",""
"食堂","","","","テレビ","",""
"靴","","","","おてあらい / トイレ","","お手洗い"
"辞書","","","","あのう","",""
"英語","","","","へや","","部屋"
"電話","","","","ほん","","本"
"何卒","","","","かいぎしつ","","会議室"
"家","","","","きょうしつ","","教室"
"机","","","","～えん","","～円"
"傘","","","","イタリア","",""
"店員","","","","コンピューター","",""
"椅子","","","","せん","","千"
"鞄","","","","[お]くに","","[お]国"
"済みません","","","","そこ / そちら","",""
"鉛筆","","","","てちょう","","手帳"
"ほんの気持ちです","","","","テレホンカード","",""
"地下","","","","たばこ","","煙草"
"万","","","","ノート","",""
"階段","","","","うけつけ","","受付"
"","","","","くるま","","車"
"","","","","カメラ","",""
"","","","","いっかい","","一階"
"","","","","ワイン","",""
"","","","","そうです","",""
"","","","","そうですか","",""
"","","","","エレベーター","",""
"","","","","じどうしゃ","","自動車"
"","","","","これから","","此れから"
"","","","","いくら","",""
